Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Eximius: Seize the Frontline, 29.99 ,3/16/2021,"Ammobox Studios,","Ammobox Studios,",80,21,77,364,"Co-op, First-Person, 3D, Futuristic, Multiplayer, Online Co-Op, Sci-fi, RTS, Action, FPS, PvE, Strategy, Competitive, PvP, Post-apocalyptic, Shooter, Action RTS, eSports, Singleplayer, Hero Shooter,",30 GB available space,0,1,0
Seen, 19.99 ,6/21/2019,"Seen Games,","Seen Games,",92,112,93,5240,"Early Access, Indie, Adventure, Dark, Action, Puzzle, Singleplayer, Atmospheric, Great Soundtrack, Platformer, Puzzle Platformer, Story Rich, 2.5D, Runner, Mystery, Dystopian , Sci-fi, Horror, Side Scroller,",1 GB available space,0,1,0
Crossroads Inn Anniversary Edition, 39.98 ,10/23/2019,"Klabater,","Klabater,",26,53,58,2801,"Sexual Content, Simulation, Nudity, RPG, Strategy, Management, Casual, Adventure, Building, Strategy RPG, Fantasy, Medieval, Isometric, Singleplayer, Sandbox, Resource Management, Story Rich, Violent, Indie, Realistic,",7 GB available space,0,1,0
Ion Assault, 9.99 ,11/17/2010,"THQ Nordic,","Coreplay,",N/A,N/A,75,72,"Action, Indie, Casual, Arcade, Shoot 'Em Up, Twin Stick Shooter, Shooter,",N/A,0,1,0
The Dungeon Of Naheulbeuk: The Amulet Of Chaos, 39.99 ,9/17/2020,"Dear Villagers, E-Home Entertainment,","Artefacts Studio,",94,58,89,4113,"RPG, Turn-Based Tactics, Adventure, Strategy, Turn-Based, Singleplayer, Turn-Based Strategy, Action, Character Customization, Indie, Dungeon Crawler, Funny, Difficult, Tactical, Sexual Content, Third Person, Story Rich, Atmospheric, Fantasy, Great Soundtrack,",8 GB available space,1,1,0
MADNESS: Project Nexus Soundtrack, 9.99 ,3/3/2020,N/A,"GIBBING TREE, LLC,",10,13,93,75,"Soundtrack, Beat 'em up, Arcade, Indie,",355 MB available space,0,1,0
Absolute Despair Collection, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Rock Simulator, 1.99 ,11/27/2019,"Vinoo,","Vinoo,",95,22,94,400,"Casual, Indie, Simulation, Comedy, Memes, Psychological Horror, Relaxing, Multiplayer, eSports, Puzzle, God Game, Immersive Sim, Life Sim, Puzzle Platformer, 3D, Cinematic, Colorful, Cute, Minimalist, Realistic,",5 GB available space,0,1,0
Realistic VR Bundle, 34.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Might and Magic: Heroes VII – Trial by Fire, 59.99 ,8/4/2016,"Ubisoft,","Limbic Entertainment,",75,24,63,975,"Strategy, RPG, Turn-Based, Turn-Based Strategy, Local Multiplayer,",N/A,0,1,0
