Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Mega Man X Legacy Collection 2, 29.99 ,7/24/2018,"CAPCOM CO., LTD,","CAPCOM CO., LTD,",83,24,76,951,"Action, Platformer, Classic, 2D, Singleplayer, Side Scroller, Great Soundtrack, Anime, Retro, Difficult, Robots,",7 GB available space,0,1,0
Eldest Souls, 19.99 ,7/29/2021,"United Label, CI Games,","Fallen Flag Studio,",75,58,83,993,"Souls-like, Dark Fantasy, Singleplayer, Action RPG, Difficult, Pixel Graphics, Indie, Hack and Slash, Isometric, Lore-Rich, Action, Fantasy, Anime, Adventure, Lovecraftian, Medieval, Combat, RPG, Violent, Roguelike,",2 GB available space,0,1,0
Hidden Through Time, 7.99 ,3/12/2020,"Rogueside,","Rogueside,",96,30,93,1308,"Hidden Object, Casual, Puzzle, Point & Click, 2D, Family Friendly, Cute, Collectathon, Funny, Historical, Relaxing, Colorful, Hand-drawn, Minimalist, Time Travel, Level Editor, Building, Atmospheric, Adventure, Singleplayer,",500 MB available space,1,1,0
Library Of Ruina Soundtrack, 19.99 ,6/9/2021,"ProjectMoon,","ProjectMoon,",N/A,N/A,98,115,"Great Soundtrack,",N/A,0,0,0
IFI Complete Neptunia Bundle / 戰機少女完全組合包, 238.37 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Cave Digger 2: Dig Harder, 59.99 ,9/14/2021,"VRKiwi,","VRKiwi,",N/A,N/A,94,18,"Early Access, Action, Adventure, VR, Exploration, Action-Adventure, Looter Shooter, Mystery Dungeon, PvE, FPS, Character Customization, First-Person, Alternate History, Procedural Generation, Shooter, Stylized, Cartoony, Loot, Western, Combat,",500 MB available space,0,1,0
Siralim Ultimate, 19.99 ,3/12/2021,"Thylacine Studios LLC,","Thylacine Studios,",93,15,94,440,"RPG, Indie, Creature Collector, Early Access, Pixel Graphics, Dungeon Crawler, Turn-Based, Procedural Generation, Fantasy, Retro, 2D, Roguelite, Roguelike,",N/A,0,1,1
Costume Quest 1 & 2 Bundle, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Resident Evil 0, 29.99 ,1/19/2016,"CAPCOM Co., Ltd.,","CAPCOM Co., Ltd.,",85,61,85,4843,"Horror, Zombies, Survival Horror, Adventure, Classic, Action, Singleplayer, Remake, Atmospheric, Third Person, Survival, Female Protagonist, Puzzle, Difficult, Story Rich, Gore, Third-Person Shooter, Great Soundtrack, Shooter, Multiplayer,",13 GB available space,0,1,0
Astalon: Tears of the Earth, 19.99 ,6/3/2021,"DANGEN Entertainment,","LABS Works,",N/A,N/A,95,217,"Action, Pixel Graphics, Metroidvania, Adventure, Platformer, 2D, Retro, Fantasy, 2D Platformer, Exploration, Action-Adventure, Anime, Dark Fantasy, Old School, Singleplayer, Demons, Hand-drawn, Magic, Post-apocalyptic, Character Customization,",600 MB available space,1,1,1
Sword of the Stars Collection, 59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Bravery Network Online, 24.99 ,2/16/2021,"GLOAM,","GLOAM,",N/A,N/A,95,123,"Early Access, Turn-Based Tactics, Character Customization, Competitive, Turn-Based Combat, JRPG, Colorful, Tactical RPG, Anime, PvP, Party-Based RPG, Cartoony, RPG, Visual Novel, Strategy, 2D, Stylized, LGBTQ+, Multiplayer, Post-apocalyptic,",2 GB available space,1,1,0
Psychonauts in the Rhombus of Ruin, 243.17 ,4/19/2018,"Double Fine Productions,","Double Fine Productions, React Games,",N/A,N/A,88,327,"Adventure, VR, Comedy, Funny, Singleplayer, Point & Click,",8 GB available space,0,1,0
LEGO® Batman™ 2: DC Super Heroes, 19.99 ,6/22/2012,"Warner Bros. Interactive Entertainment ,","TT Games,",94,87,92,2252,"LEGO, Action, Adventure, Open World, Superhero, Local Co-Op, Family Friendly, Co-op, Multiplayer, Singleplayer, Funny, Controller, Split Screen, Comedy, Casual, Local Multiplayer, Puzzle, Third Person, Comic Book, Sexual Content,",N/A,0,1,0
Train Life: A Railway Simulator, 29.99 ,8/31/2021,"Nacon,","Simteract,",85,100,83,331,"Simulation, Trains, Driving, Transportation, Realistic, Immersive Sim, Management, Economy, Singleplayer, Third Person, First-Person, 3D, Open World, Early Access, Relaxing, Ambient, Nature, Historical, Adventure, Family Friendly,",N/A,0,1,0
Post Void, 2.99 ,8/6/2020,"YCJY Games,","YCJY Games,",97,137,98,4466,"FPS, Action Roguelike, Psychedelic, Fast-Paced, Difficult, First-Person, Shooter, Singleplayer, Action, Surreal, Score Attack, Arcade, Pixel Graphics, Procedural Generation, Violent, Colorful, 1990's, Retro, Old School, Tutorial,",N/A,0,1,0
Wolf Pack, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Factory Town, 29.99 ,3/12/2019,"Erik Asmussen,","Erik Asmussen,",96,26,91,2187,"Automation, Base Building, Resource Management, Sandbox, Simulation, Crafting, Management, City Builder, Colony Sim, Economy, Strategy, Building, Transportation, Moddable, Trains, Level Editor, Early Access, Singleplayer, Indie, Colorful,",250 MB available space,1,1,0
Beat Hazard 2, 49.99 ,10/16/2019,"Cold Beam Games,","Cold Beam Games,",93,15,91,1061,"Music, Bullet Hell, Indie, Music-Based Procedural Generation, Action, Casual, Shoot 'Em Up, Arcade, Shooter, Space, Singleplayer, Rhythm, Colorful, Great Soundtrack, Replay Value, Local Co-Op, Early Access, VR, Twin Stick Shooter,",250 MB available space,0,1,0
SUPERHOT ONE OF US BUNDLE, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
My Beautiful Paper Smile, 14.99 ,10/14/2021,"V Publishing,","Two Star Games,",N/A,N/A,94,138,"Psychological Horror, Horror, Hand-drawn, Story Rich, Puzzle, Dystopian , Point & Click, Hidden Object, Action, 2D, Surreal, Dark Fantasy, Atmospheric, Psychological, Adventure, Indie, Dark, Singleplayer, Early Access, Puzzle Platformer,",2 GB available space,0,1,0
Fibbage XL, 29.99 ,3/24/2016,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",N/A,N/A,95,174,"Strategy, Casual, Indie, Local Multiplayer, Party Game, Party, Trivia,",200 MB available space,1,1,1
ARIA CHRONICLE, 17.99 ,7/12/2020,"CREST,","STUDIO N9,",81,22,79,1005,"JRPG, Turn-Based Tactics, Tactical RPG, Tutorial, Party-Based RPG, 2D, RPG, Funny, Turn-Based Combat, Anime, Cartoony, Fantasy, Medieval, Combat, Singleplayer, Indie, Dungeon Crawler, Turn-Based Strategy, Strategy, Casual,",1 GB available space,0,1,0
Euro Truck Simulator 2 Essentials, 50.94 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Sprint Vector, 44.99 ,2/8/2018,"Survios,","Survios,",N/A,N/A,84,550,"Racing, Sports, Skating, Action, Indie, VR, Parkour, Multiplayer, Competitive, Arcade, Cartoon, Fantasy, PvP,",10 GB available space,0,1,0
Vanquish, 19.99 ,5/25/2017,"SEGA,","PlatinumGames, Little Stone Software,",83,92,88,4460,"Action, Third-Person Shooter, Sci-fi, Singleplayer, Fast-Paced, Shooter, Third Person, Bullet Time, Futuristic, Mechs, Robots, Arcade, Character Action Game, Great Soundtrack, Adventure, Hack and Slash, Classic, Cyberpunk, Story Rich, Difficult,",20 GB available space,0,1,0
Marble It Up!, 14.99 ,11/16/2018,"Alvios, Inc., Bad Habit Productions,","Blueteak, The Engine Company, Shapes and Lines, Arcturus Interactive,",N/A,N/A,93,441,"3D Platformer, Fast-Paced, Physics, Arcade, Racing, Platformer, Time Attack, Action, Casual, Colorful, Singleplayer, 3D, Abstract, Surreal, Level Editor, Replay Value, Puzzle Platformer, Great Soundtrack, Puzzle, Indie,",2 GB available space,1,1,0
Strategic Mind: Spectre of Communism, 29.99 ,11/13/2020,"Starni Games,","Starni Games,",N/A,N/A,87,105,"Turn-Based Tactics, Wargame, Military, Tanks, War, World War II, Strategy RPG, Turn-Based Strategy, Board Game, Strategy, 3D, Alternate History, Historical, Story Rich, Turn-Based Combat, Simulation, Realistic, Tactical, Hex Grid, Singleplayer,",25 GB available space,0,1,0
LEGO® MARVEL's Avengers, 59.99 ,1/26/2016,"Warner Bros. Interactive Entertainment, Feral Interactive (Mac),","Traveller's Tales, TT Games, Feral Interactive (Mac),",88,85,86,3226,"LEGO, Open World, Adventure, Superhero, Action, Multiplayer, Comedy, Local Co-Op, Funny, Third Person, Singleplayer, Co-op, Family Friendly, Local Multiplayer, Split Screen, Comic Book, Online Co-Op, Puzzle, Atmospheric, Casual,",14 GB available space,0,1,0
The Big Con, 59.99 ,8/31/2021,"Skybound Games,","Mighty Yell,",10,23,10,63,"1990's, Comedy, Crime, Indie, Singleplayer, Funny, Stylized, Cartoony, Story Rich, Hand-drawn, Female Protagonist, Adventure, Colorful, Choices Matter, Conversation, 2D, Cute, Action-Adventure, Exploration, Interactive Fiction,",3 GB available space,0,1,0
Blood Bowl 2, 19.99 ,9/22/2015,"Cyanide Studios,","Cyanide Studios,",80,45,77,5547,"Strategy, Sports, Turn-Based, Games Workshop, Fantasy, Multiplayer, Board Game, Turn-Based Strategy, Gore, Football, Singleplayer, Tabletop, Dark Humor, Violent, Difficult, Funny, RPG, Blood, Action, Warhammer 40K,",8 GB available space,1,1,0
Megaquarium, 44.99 ,9/13/2018,"Twice Circled,","Twice Circled,",10,14,93,1848,"Management, Underwater, Fishing, Creature Collector, Building, Moddable, Simulation, Family Friendly, Sandbox, Relaxing, Capitalism, Economy, Cute, Strategy, Singleplayer, Isometric, Indie, Resource Management, Casual, 3D,",1 GB available space,1,1,1
RWBY: Grimm Eclipse, 19.99 ,7/5/2016,"Rooster Teeth Games,","Rooster Teeth Games,",76,13,82,9684,"Action, Hack and Slash, Female Protagonist, Anime, Co-op, Multiplayer, Adventure, Great Soundtrack, Online Co-Op, Indie, Beat 'em up, Third Person, Fighting, Early Access, Spectacle fighter, Cute, Action RPG, Fantasy, Team-Based, Singleplayer,",4 GB available space,1,1,0
Project META, 19.99 ,10/8/2021,"Omnifarious Studios LLC,","Omnifarious Studios LLC,",N/A,N/A,75,12,"VR, Action, Combat, Physics, Adventure, Superhero, Fantasy, Sandbox, Early Access, Martial Arts, Singleplayer, Comic Book, Action-Adventure, Swordplay, Beat 'em up, Robots, Ninja, Indie, PvE, Flight,",6 GB available space,0,1,0
Let's Sing 2019, 29.99 ,3/3/2019,"Ravenscourt,","Voxler,",N/A,N/A,38,18,"Casual, Music,",N/A,0,1,0
SynthVR, 34.99 ,1/31/2021,"42tones,","42tones,",N/A,N/A,90,44,"Audio Production, Utilities, VR, Music, Rhythm, Electronic Music, Indie, Simulation,",1 GB available space,0,1,0
Mysterium: A Psychic Clue Game, 19.99 ,1/12/2017,"Asmodee Digital,","Asmodee Digital, Playsoft,",81,11,82,314,"Strategy, Board Game, Tabletop, Multiplayer, Co-op, Mystery,",N/A,0,1,0
The Greatest Penguin Heist of All Time, 14.99 ,7/2/2021,"That Fish, That Other Fish,","That Fish, That Other Fish,",84,25,89,231,"Early Access, Heist, Cartoony, Sandbox, Comedy, Action-Adventure, Choices Matter, Funny, Multiplayer, Co-op, Physics, Action, Intentionally Awkward Controls, PvP, Third-Person Shooter, Stealth, Character Customization, Online Co-Op, Combat, Casual,",1 GB available space,1,1,1
Budget Cuts Complete Set, 59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"Please, Don't Touch Anything 3D", 9.99 ,12/7/2016,"Forward Game Studios,","Escalation Studios, Four Quarters,",86,23,86,604,"Indie, Casual, Adventure, Puzzle, VR, Horror, Multiple Endings, Singleplayer, Funny,",500 MB available space,1,1,0
Max Payne Bundle, 14.99 ,1/4/2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
HunieCam Studio, 6.99 ,4/4/2016,"HuniePot,","HuniePot,",96,26,86,4087,"Mature, Nudity, Sexual Content, Management, Simulation, Clicker, Anime, Singleplayer, Indie, Strategy, Female Protagonist, Memes, Cute, Hentai, Dating Sim, Comedy, Funny, 2D, Casual, Replay Value,",1 GB available space,1,1,1
Wargame: Airland Battle, 19.99 ,5/29/2013,"Eugen Systems,","Eugen Systems,",N/A,N/A,87,3265,"Strategy, RTS, Military, Cold War, Real Time Tactics, Wargame, Tactical, Real-Time, Simulation, Multiplayer, War, Realistic, Difficult, Singleplayer, Action, Co-op, Alternate History, America, Indie, Historical,",N/A,0,1,1
Spy Fox Complete Pack, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Avernum 3: Ruined World, 149.87 ,1/31/2018,"Spiderweb Software,","Spiderweb Software,",N/A,N/A,85,164,"RPG, Indie, Adventure, Strategy, Isometric, CRPG, Fantasy, Story Rich, Singleplayer, Party-Based RPG, Retro, Old School, Grid-Based Movement, 2D, Turn-Based Combat, Turn-Based,",500 MB available space,1,1,0
Starship EVO, 29.99 ,6/19/2020,"Moonfire Entertainment,","Moonfire Entertainment,",N/A,N/A,86,479,"Indie, Action, Simulation, Adventure, Space, Sandbox, Building, Early Access, Sci-fi, Voxel, Open World, Multiplayer, Space Sim, Futuristic, Physics,",4 GB available space,0,1,0
Fight Crab, 19.99 ,7/29/2020,"PLAYISM,","Calappa Games,",N/A,N/A,92,513,"Spectacle fighter, Sports, PvP, Competitive, 3D Fighter, eSports, 3D, Split Screen, Funny, Surreal, Action, Realistic, Comedy, Physics, Memes, Combat, Local Co-Op, Co-op, Online Co-Op, Multiplayer,",1 GB available space,0,1,0
Assassin’s Creed® Chronicles: China, 9.99 ,4/21/2015,"Ubisoft Entertainment,","Climax Studios,",75,28,73,2723,"Assassin, Stealth, Female Protagonist, Action, 2.5D, Parkour, Adventure, Side Scroller, Platformer, Singleplayer, Historical, 2D, Open World, Free to Play,",4 GB available space,0,1,0
LEGO® Jurassic World, 19.99 ,6/11/2015,"Warner Bros. Interactive Entertainment,","TT Games Ltd,",93,45,89,3628,"LEGO, Dinosaurs, Adventure, Open World, Action, Multiplayer, Funny, Co-op, Comedy, Singleplayer, Family Friendly, Local Co-Op, Puzzle, Movie, Third Person, Historical, Building, Controller, Atmospheric, Simulation,",10 GB available space,0,1,0
Red Orchestra 2: Heroes of Stalingrad with Rising Storm, 29.99 ,9/13/2011,"Tripwire Interactive,","Tripwire Interactive,",N/A,N/A,93,21923,"Realistic, World War II, FPS, Multiplayer, Historical, Action, Tactical, First-Person, Shooter, Military, Team-Based, War, Simulation, Atmospheric, Tanks, Gore, Singleplayer, Difficult, Co-op, Strategy,",N/A,0,1,0
Monster Prom 2: Monster Camp Soundtrack, 5.99 ,12/22/2020,N/A,"Beautiful Glitch,",N/A,N/A,N/A,N/A,N/A,150 MB available space,0,1,0
Hatsune Miku VR, 24.99 ,3/8/2018,"Degica,","Crypton Future Media,",N/A,N/A,73,500,"Action, VR, Anime, Music, Rhythm, Female Protagonist, Cute, Great Soundtrack,",3 GB available space,0,1,0
PATHFINDER 2 - Essentials Bundle, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Twilight Struggle, 9.99 ,4/13/2016,"Playdek, Inc.,","Playdek, Inc.,",84,19,86,1745,"Board Game, Tabletop, Strategy, Simulation, Cold War, Historical, Card Game, Singleplayer, Asynchronous Multiplayer, Turn-Based Strategy, Alternate History, Atmospheric, 2D, Political Sim, Tactical, Multiplayer, Turn-Based Tactics, Turn-Based, Choices Matter, Grand Strategy,",500 MB available space,1,1,0
DwarfHeim, 29.99 ,9/27/2021,"Merge Games,","Pineleaf Studio,",55,45,67,336,"RTS, Base Building, Strategy, Resource Management, Multiplayer, Indie, Sandbox, Online Co-Op, Survival, Management, Building, War, City Builder, Real-Time, Simulation, Singleplayer, Medieval, Mythology, 4X, Atmospheric,",14 GB available space,0,1,0
DOOM 64, 39.99 ,3/20/2020,"Bethesda Softworks,","id Software, Nightdive Studios,",88,54,94,4136,"Action, FPS, Classic, 1990's, Retro, Gore, Violent, Shooter, First-Person, Cult Classic, Horror, Singleplayer, Fast-Paced, Demons, Sci-fi, Atmospheric, Great Soundtrack, Pixel Graphics,",N/A,0,1,0
The Door in the Basement, 19.99 ,4/21/2021,"Aegon Games Ltd,","Aegon Games Ltd,",N/A,N/A,86,45,"Horror, Atmospheric, Adventure, Survival, Pixel Graphics, Supernatural, Indie, Mystery, Underground, Stealth, Dark, Singleplayer,",3 GB available space,0,1,0
Crown Trick, 19.99 ,10/16/2020,"Team17, NEXT Studios,","NEXT Studios,",91,37,86,3631,"Roguelike, Turn-Based Combat, RPG, Perma Death, Roguelite, Adventure, Strategy, Turn-Based, Dungeon Crawler, Turn-Based Strategy, Female Protagonist, Singleplayer, 2D, Replay Value, Difficult, Tactical, Action-Adventure, Fantasy, Top-Down, Magic,",2 GB available space,0,1,0
Fake Hostel, 1.99 ,9/16/2021,"Romantic Room,","Romantic Room,",N/A,N/A,75,108,"Puzzle, Casual, Dating Sim, Anime, Visual Novel, 2D, Story Rich, Cartoon, Colorful, Adventure, Cute, Singleplayer, Romance, Memes, Comedy, America, Funny, Sexual Content, Simulation, Soundtrack,",1000 MB available space,0,1,0
Turok 2: Seeds of Evil, 39.99 ,12/10/1998,"Nightdive Studios,","Iguana Entertainment, Nightdive Studios,",10,11,94,1547,"FPS, Action, Classic, Dinosaurs, Gore, Violent, Adventure, Multiplayer, Singleplayer, Great Soundtrack, 1990's, Shooter, Sci-fi, First-Person, Split Screen, Aliens, Difficult, Local Multiplayer, Retro, 4 Player Local,",1 GB available space,1,1,1
CLEAR PASS SEASON 3 Full Bundle, 21.23 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Medal of Honor: Airborne, 49.99 ,9/4/2007,"Electronic Arts,","EA Los Angeles,",88,50,80,3608,"Action, World War II, FPS, Multiplayer, Singleplayer, War, Shooter, Military, First-Person, Historical, Classic, Atmospheric, Open World, Controller, Great Soundtrack, Story Rich, World War I,",N/A,0,1,0
Unbound: Worlds Apart, 19.99 ,7/28/2021,"Alien Pixel Studios,","Alien Pixel Studios,",86,38,88,323,"Indie, Adventure, Platformer, Atmospheric, Singleplayer, 2D, Exploration, Metroidvania, Side Scroller, Dark Fantasy, Story Rich, Difficult, Great Soundtrack, Action, Hand-drawn, Cute, Open World, Controller, Multiple Endings, Souls-like,",8 GB available space,1,1,1
Warframe: Nidus Prime Access - Ravenous Bundle, 139.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Gordian Quest, 24.99 ,3/27/2020,"Mixed Realms Pte Ltd, Coconut Island Games,","Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd,",90,51,92,2954,"RPG, Strategy, Indie, Adventure, Roguelike Deckbuilder, Deckbuilding, Early Access, Card Game, Turn-Based, Roguelite, Turn-Based Combat, Card Battler, Roguelike, Fantasy, Turn-Based Strategy, Turn-Based Tactics, Replay Value, Procedural Generation, Tactical, 2D,",1 GB available space,0,1,0
DUSK + AMID EVIL Bundle, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Mr.President!, 9.99 ,10/10/2016,"Game Developer X,","Game Developer X,",80,21,79,2874,"Memes, Funny, Action, Politics, Indie, Simulation, Comedy, Physics, Political, Adventure, Singleplayer, Parkour, Illuminati, Psychological Horror, Difficult, Multiplayer, Violent, Anime, Gore, Sexual Content,",4 GB available space,0,1,0
"""KUUKIYOMI: Consider It"" Complete Collection", 14.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Worms Armageddon, 19.99 ,5/31/1999,"Team17 Digital Ltd,","Team17 Digital Ltd,",95,92,94,4814,"Strategy, Multiplayer, Classic, Turn-Based, Turn-Based Strategy, Funny, 2D, Local Multiplayer, Comedy, Physics, Co-op, Local Co-Op, Action, Singleplayer, Platformer, Party, 1990's, Retro, Adventure, Online Co-Op,",N/A,0,1,0
Catch & Release, 59.99 ,6/7/2018,"Advanced Interactive Gaming Ltd.,","metricminds GmbH & Co KG,",N/A,N/A,91,282,"Simulation, Sports, VR, Fishing, Casual, Cartoon,",1 GB available space,0,1,0
Genital Jousting, 6.99 ,1/18/2018,"Devolver Digital,","Free Lives,",94,37,92,6246,"Sexual Content, Nudity, Action, Indie, Comedy, Multiplayer, NSFW, Funny, Memes, Mature, Local Multiplayer, Story Rich, Cute, Co-op, Local Co-Op, Great Soundtrack, Casual, Illuminati, Violent, Early Access,",500 MB available space,1,1,0
Company of Heroes: Opposing Fronts, 59.99 ,9/27/2007,"SEGA,","Relic Entertainment,",N/A,N/A,91,572,"Strategy, RTS, Action, World War II, Singleplayer, Military, Multiplayer, Tactical, War, Tanks, Base Building, Historical, Co-op, Online Co-Op,",N/A,0,1,0
SCOOT, 59.99 ,12/28/2020,"Matt Cole,","Matt Cole,",86,22,90,220,"Action, Sports, 3D, Realistic, Family Friendly, Relaxing, Early Access, Simulation, Physics, Singleplayer, Indie,",1 GB available space,0,1,0
Tomb Raider GOTY, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Magicka 2, 19.99 ,5/26/2015,"Paradox Interactive,","Pieces Interactive,",85,61,81,6723,"Magic, Co-op, Adventure, Comedy, Multiplayer, Action, Funny, Online Co-Op, Local Co-Op, RPG, Atmospheric, Team-Based, PvP, Open World, Fantasy, Local Multiplayer, Singleplayer, Memes, Gore, Isometric,",3 GB available space,1,1,1
Jet Island, 19.99 ,9/21/2018,"Master Indie,","Master Indie,",90,10,95,1262,"VR, Action, Adventure, Indie, Casual, Simulation,",1 GB available space,0,1,0
Pixel Ripped 1995, 9.99 ,4/23/2020,"ARVORE Immersive Experiences,","ARVORE Immersive Experiences,",N/A,N/A,99,114,"Retro, Old School, VR, 1990's, Puzzle Platformer, Platformer, Arcade, Action-Adventure, Horror, Open World, Action, Cartoony, Comedy, Adventure, Singleplayer, Indie, Minigames, Great Soundtrack,",2 GB available space,0,1,0
Atlantic Fleet, 39.99 ,2/25/2016,"Killerfish Games,","Killerfish Games,",84,13,85,1160,"Naval Combat, Simulation, Strategy, Naval, World War II, Turn-Based, War, Singleplayer, Historical,",400 MB available space,1,1,0
Silent Hunter®: Wolves of the Pacific, 9.99 ,3/20/2007,"Ubisoft,","Ubisoft Romania,",N/A,N/A,67,676,"Simulation, Submarine, World War II, Naval Combat, Naval, Military,",N/A,0,1,0
Royal Alchemist, 14.99 ,4/30/2020,"Nifty Productions,","Nifty Visuals,",N/A,N/A,95,133,"RPG, Strategy, Simulation, Otome, Visual Novel, LGBTQ+, Anime, Dating Sim, Romance, Female Protagonist, Choices Matter, Fantasy, Magic, Multiple Endings, Singleplayer, Nudity, Adventure, Politics, Crowdfunded, Indie,",700 MB available space,1,1,1
Witch Hunt, 29.99 ,9/3/2018,"Andrii Vintsevych,","Andrii Vintsevych,",87,31,88,1646,"Horror, Survival Horror, Action, Survival, Atmospheric, Open World, Adventure, FPS, Supernatural, Singleplayer, Shooter, Psychological Horror, First-Person, Hunting, Exploration, Loot, Gothic, Difficult, Gore, Indie,",5 GB available space,0,1,0
Interstellar Rift, 14.99 ,9/24/2020,"Iceberg Interactive,","Split Polygon,",N/A,N/A,70,1172,"Space Sim, Open World, Building, Exploration, Crafting, Sandbox, PvP, Mining, Survival, First-Person, Trading, 3D, Space, Action, Simulation, Sci-fi, Atmospheric, Adventure, Futuristic, Aliens,",10 GB available space,0,1,0
Utawarerumono Complete Bundle, 146.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Slipways, 29.99 ,6/3/2021,"Beetlewing,","Beetlewing,",96,32,93,1081,"Strategy, Turn-Based Strategy, Puzzle, Sandbox, Relaxing, Economy, Sci-fi, Resource Management, Procedural Generation, Management, Science, Replay Value, Building, Futuristic, Indie, 4X, Space, Aliens, Family Friendly, Singleplayer,",1 GB available space,1,1,0
Rolled Out!, 19.99 ,3/23/2021,"Polarbyte Games, Skymap Games,","Polarbyte Games, Skymap Games,",N/A,N/A,95,225,"Racing, Precision Platformer, 3D Platformer, Puzzle Platformer, Casual, Platformer, Arcade, 3D, Cute, Third Person, Early Access, Indie, Action, Colorful, Cartoony, Singleplayer,",5 GB available space,0,1,1
Soundodger 2, 19.99 ,10/11/2021,"Studio Bean,","Studio Bean,",N/A,N/A,10,17,"Early Access, Rhythm, Bullet Hell, Experimental, Level Editor, Minimalist, Casual, Arena Shooter, Shoot 'Em Up, Bullet Time, Difficult, 2.5D, Noir, Relaxing, Music-Based Procedural Generation, Time Manipulation, Abstract, Colorful, Stylized, Score Attack,",150 MB available space,0,1,0
Turnip Boy Commits Tax Evasion, 9.99 ,4/22/2021,"Graffiti Games,","Snoozy Kazoo,",92,82,94,2771,"Indie, Adventure, Pixel Graphics, Cute, 2D, Action, Casual, Singleplayer, Crime, Great Soundtrack, Farming Sim, Psychological Horror, Comedy, Story Rich, Top-Down, Cartoony, RPG, Exploration, Puzzle, Retro,",600 MB available space,1,1,1
Binding of Isaac Bundle, 19.99 ,7/12/2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Downwell, 2.99 ,10/15/2015,"Devolver Digital,","Moppin,",95,65,96,6026,"Precision Platformer, Action Roguelike, Indie, Platformer, Pixel Graphics, Action, 2D Platformer, Difficult, 2D, Roguelike, Arcade, Fast-Paced, Roguelite, Adventure, Retro, Shoot 'Em Up, Singleplayer, Procedural Generation, Replay Value, Great Soundtrack,",200 MB available space,0,1,0
Drift King, 9.99 ,8/23/2021,"Giorgi Abelashvili,","Giorgi Abelashvili,",95,20,96,53,"Racing, Driving, Automobile Sim, Co-op, Multiplayer, Early Access, Online Co-Op, Singleplayer, Sports, Arcade, Immersive Sim, Indie, Realistic, Hentai, PvP, Controller, Third Person, 3D,",2 GB available space,0,1,0
Legend of Keepers: Career of a Dungeon Manager, 14.99 ,4/29/2021,"Goblinz Publishing,","Goblinz Studio,",57,75,82,2521,"Turn-Based Tactics, Dungeon Crawler, Roguelite, Strategy, Replay Value, Difficult, Roguelike, RPG, Turn-Based Combat, Management, Villain Protagonist, 2D, Pixel Graphics, Fantasy, Board Game, Turn-Based, Dark Fantasy, Singleplayer, Lovecraftian, Dark,",1 GB available space,1,1,1
DiRT 4, 14.99 ,6/9/2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts,","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux),",91,147,79,9448,"Racing, Simulation, Automobile Sim, Multiplayer, Driving, Sports, Offroad, Realistic, Singleplayer, Arcade, Atmospheric, Action, Open World, VR, Difficult, Online Co-Op, Co-op, Controller, Great Soundtrack, Adventure,",50 GB available space,1,1,1
Down the Rabbit Hole, 39.99 ,3/26/2020,"Cortopia Studios,","Cortopia Studios,",N/A,N/A,93,188,"Indie, Adventure, Puzzle, Story Rich, Third Person, VR,",3 GB available space,0,1,0
Lovers in a Dangerous Spacetime, 76.95 ,9/9/2015,"Asteroid Base,","Asteroid Base,",N/A,N/A,93,2443,"Local Co-Op, 4 Player Local, Local Multiplayer, Co-op, Co-op Campaign, Multiplayer, Indie, Action, Space, Cute, 2D, Online Co-Op, Colorful, Shoot 'Em Up, Adventure, Sci-fi, Stylized, Shooter, Casual, Cartoony,",900 MB available space,1,1,1
Trainz™ Simulator 12, 59.99 ,6/8/2011,"N3V Games,","N3V Games,",77,18,74,1094,"Simulation, Trains, Multiplayer, Singleplayer, Realistic, Free to Play, Sandbox,",N/A,0,1,0
