Name,Price,Release Date,Publisher,Developer,% Positive Reviews (30 days),Total Number Reviews (30 days),%PosAT,TotalReviewsAT,Genre(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Tales of Arise,$19.99,"Sep 9, 2021","BANDAI NAMCO Entertainment, ","BANDAI NAMCO Studios Inc., ",N/A,N/A,91,"10,616 ","Anime, JRPG, RPG, Action, Action RPG, Fantasy, Singleplayer, Third Person, Story Rich, Magic, Open World, Combat, Controller, Adventure, Female Protagonist, Sexual Content, Character Customization, Hack and Slash, Romance, Multiplayer, ", 45 GB available space,0,1,0
Subnautica,$29.99,"Jan 23, 2018","Unknown Worlds Entertainment, ","Unknown Worlds Entertainment, ",96,"2,080 Recent
",96,"161,398 ","Open World Survival Craft, Survival, Open World, Exploration, Underwater, Crafting, Base Building, Horror, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Survival Horror, Action, Early Access, Multiplayer, Indie, ", 20 GB available space,1,1,0
Tom Clancy's Rainbow Six® Siege,$19.99,"Dec 1, 2015","Ubisoft, ","Ubisoft Montreal, ",84,"11,033 Recent
",88,"826,006 ","FPS, Hero Shooter, Multiplayer, Tactical, Shooter, Team-Based, Action, First-Person, Competitive, Co-op, Strategy, Realistic, Online Co-Op, Destruction, Physics, Atmospheric, Singleplayer, Massively Multiplayer, Casual, Simulation, ", 61 GB available space,0,1,0
Garry's Mod,$9.99,"Nov 29, 2006","Valve, ","Facepunch Studios, ",97,"8,951 Recent
",96,"633,967 ","Sandbox, Multiplayer, Funny, Moddable, Building, Comedy, Co-op, Mod, First-Person, Physics, Simulation, Online Co-Op, FPS, Singleplayer, Action, Shooter, Animation & Modeling, Indie, Massively Multiplayer, Adventure, ", 5 GB available space,1,1,1
DayZ,$29.99,"Dec 13, 2018","Bohemia Interactive, ","Bohemia Interactive, ",87,"2,341 Recent
",69,"231,590 ","Survival, Zombies, Multiplayer, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Simulation, Post-apocalyptic, Early Access, FPS, First-Person, Survival Horror, Sandbox, Adventure, Co-op, Atmospheric, Indie, ", 16 GB available space,0,1,0
Borderlands 3,$59.99,"Mar 13, 2020","2K, ","Gearbox Software, ",86,"801 Recent
",83,"67,153 ","RPG, Action, Looter Shooter, Online Co-Op, FPS, Open World, Multiplayer, Loot, Co-op, Shooter, Co-op Campaign, Singleplayer, Gore, First-Person, Violent, Adventure, Great Soundtrack, Epic, Nudity, Comedy, ", 75 GB available space,0,1,0
Poppy Playtime,$29.99,"Oct 12, 2021","MOB Games, ","MOB Games, ",N/A,N/A,94,298 ,"Horror, Puzzle, First-Person, Singleplayer, Lore-Rich, Indie, Survival Horror, Cute, Survival, Cartoony, Dark, Atmospheric, 1980s, Psychological Horror, Physics, Adventure, Mystery, Action-Adventure, Thriller, Action, ", 10 GB available space,0,1,0
The Flipper Bundle,$59.96,N/A,,,N/A,N/A,N/A,N/,N/A,N/A,0,0,0
Gloomhaven,$19.99,"Jul 17, 2019","Asmodee Digital, ","Flaming Fowl Studios, ",93,"187 Recent
",88,"4,554 ","Tabletop, Co-op, RPG, Strategy, Board Game, Turn-Based, Dungeon Crawler, Adventure, Turn-Based Strategy, Turn-Based Tactics, Early Access, Singleplayer, Hex Grid, Multiplayer, Tactical RPG, Replay Value, Roguelike, Online Co-Op, Difficult, 3D, ", 7 GB available space,0,1,0
Legion TD 2 - Multiplayer Tower Defense,$19.99,"Oct 1, 2021","AutoAttack Games, ","AutoAttack Games, ",87,"1,100 Recent
",81,"4,224 ","Tower Defense, Auto Battler, Multiplayer, Strategy, Replay Value, Competitive, PvP, PvE, Online Co-Op, Co-op, Base Building, Fantasy, Resource Management, Sci-fi, Magic, Mechs, 3D, 2D, Survival, Medieval, ", 2 GB available space,0,1,0
Risk of Rain 2,$59.99,"Aug 11, 2020","Gearbox Publishing, ","Hopoo Games, ",98,"1,405 Recent
",96,"110,993 ","Third-Person Shooter, Action Roguelike, Multiplayer, Action, Roguelite, Co-op, Looter Shooter, Roguelike, Loot, Shooter, Online Co-Op, Difficult, Survival, Third Person, Indie, Singleplayer, Soundtrack, Early Access, Great Soundtrack, Bullet Hell, ", 4 GB available space,0,1,0
Squad,$39.99,"Sep 23, 2020","Offworld Industries, ","Offworld Industries, ",92,"1,103 Recent
",90,"66,874 ","Military, FPS, Realistic, Multiplayer, Tactical, Shooter, War, Team-Based, Action, First-Person, Strategy, Simulation, Open World, Co-op, Early Access, Massively Multiplayer, Atmospheric, Walking Simulator, Indie, Singleplayer, ", 55 GB available space,0,1,0
Microsoft Flight Simulator,$59.99,"Aug 17, 2020","Xbox Game Studios, ","Asobo Studio, ",74,"846 Recent
",75,"28,568 ","Simulation, Flight, Open World, Realistic, Multiplayer, Singleplayer, Atmospheric, Real-Time, Physics, Adventure, VR, Colorful, Family Friendly, TrackIR, Logic, Life Sim, Surreal, Beautiful, Short, Boxing, ", 150 GB available space,0,1,0
Fallout New Vegas Ultimate,$19.99," Feb 7, 2012",,,N/A,N/A,N/A,N/,N/A,N/A,0,0,0
Borderlands: The Handsome Collection,$229.48,N/A,,,N/A,N/A,N/A,N/,N/A,N/A,0,0,0
People Playground,$9.99,"Jul 23, 2019","Studio Minus, ","mestiez, ",98,"3,885 Recent
",98,"62,735 ","Sandbox, Physics, Gore, Violent, Moddable, Singleplayer, Blood, 2D, Simulation, Funny, Destruction, Building, Casual, Indie, Pixel Graphics, Action, Psychological Horror, Horror, Comedy, Choose Your Own Adventure, ", 350 MB available space,0,1,0
