Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
SGS Halls of Montezuma,59.99,5/20/2021,"Avalon Digital,","The Strategy Game Studio,",0,0,66,12,Wargame,0.75,1,1,0,1,0,0,0,2725.666667,23,33.32666667
Mana Spark,19.99,9/27/2018,"BEHEMUTT,","BEHEMUTT, Kishimoto Studios,",0,0,82,362,Action,0.5,1,1,1,1,1,1,1,3264.582596,57.48230088,45.25634218
Rampage Knights,19.99,9/4/2015,"Rake in Grass,","Rake in Grass,",0,0,93,1941,Co-op,0.15,1,1,0,1,0,0,0,45804.89474,587,34.93526316
Playing History - The Plague,0.99,11/14/2012,"Serious Games Interactive,","Serious Games Interactive,",0,0,0,0,Adventure,0.2,1,1,0,1,0,0,0,1660.002024,30.6437247,53.61291498
Trump Loves Russia,0.99,8/11/2021,"SeedWall,","SeedWall,",0,0,77,18,Action,6,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Narcos: Rise of the Cartels,29.99,11/19/2019,"Curve Digital,","Kuju,",0,0,52,232,Strategy,12,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
The Under Presents,29.99,11/19/2019,"Tender Claws,","Tender Claws,",0,0,90,71,Adventure,4,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Beholder 2,14.99,12/4/2018,"Alawar Premium,","Warm Lamp Games,",89,29,88,3606,Strategy,4,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Distance,24.99,9/18/2018,"Refract,","Refract,",92,27,93,4726,Racing,5,1,1,1,1,1,1,1,4392.66055,184.4678899,30.58091743
Zombie Town VR,14.98,12/1/2016,"B.H.C.M. Studio,","B.H.C.M. Studio,",0,0,80,10,VR,0.512,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
Wordle 3,1.99,10/6/2020,"gigantumgames,","PreoNus Games,",0,0,89,136,Casual,55,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Star Fighter,19.99,10/2/2021,"Flex Entertainment,","Flex Entertainment,",0,0,0,0,Space,1,0,1,0,0,0,0,0,12894.12903,153.4516129,44.04709677
Squally,29.99,11/6/2018,"Squalr, Inc.,","Zachary Canann,",0,0,69,55,Action,0,1,1,1,1,1,1,1,3264.582596,57.48230088,45.25634218
Suits: A Business RPG,14.99,1/5/2016,"Technomancy Studios,","Technomancy Studios,",0,0,89,718,Dark,0,1,1,1,1,1,1,1,8014.666667,211.6666667,31.65666667
Masky,0.99,12/16/2016,"Forever Entertainment S. A.,","Digital Melody,",0,0,78,75,Casual,0.3,1,1,1,1,1,1,1,591.1660777,19.47349823,25.58780919
Paradox Soul,4.99,2/9/2018,"GrabTheGames,","Ritual Games,",0,0,45,35,Adventure,0,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Orbt XL,0.99,4/21/2017,"Adamvision Studios,","Adamvision Studios,",10,21,97,2783,Indie,0.5,1,1,1,1,1,1,1,802.9269841,12.4984127,25.0667619
Armello Original Soundtrack - Wyld's Call,9.99,9/2/2015,"League of Geeks,","League of Geeks,",0,0,91,36,Adventure,0,0,0,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Mineirinho Wildtides DC,0.99,2/4/2020,"Sinned Games,","Sinned Games,",0,0,35,17,2D,0.3,0,1,0,0,0,0,0,1275.809524,39.33333333,20.51285714
ChillaxVR,44.99,1/28/2021,"ExAbsentia,","Voxel LLC,",0,0,63,11,Casual,3,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Nidhogg 2,14.99,8/15/2017,"Messhof,","Messhof,",66,15,81,723,Local,0.75,1,1,0,1,0,0,0,1584.785714,8.714285714,26.62714286
